"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2021-04-01","3","7519","87","0.01157068759143503","13","0","8","4","35","1","25","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-02","2","3810","67","0.01758530183727034","3","0","7","9","22","0","26","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-03","0","2467","16","0.0064856100526955816","3","0","4","2","6","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-04","0","1093","5","0.004574565416285453","0","0","1","1","2","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-05","0","1498","3","0.0020026702269692926","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-06","0","1884","13","0.006900212314225053","1","0","2","1","2","0","7","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-07","0","553","6","0.0108499095840868","0","1","1","0","0","0","4","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-08","0","422","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-09","0","851","1","0.0011750881316098707","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-10","0","661","2","0.0030257186081694403","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-11","0","890","2","0.0022471910112359553","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-12","2","6635","78","0.01175584024114544","14","0","10","13","23","6","11","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-13","1","2448","36","0.014705882352941176","10","0","11","2","10","0","2","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-14","1","2252","22","0.009769094138543518","5","0","4","2","8","0","3","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-15","1","4023","27","0.006711409395973154","3","0","4","3","6","1","10","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-16","0","732","7","0.009562841530054645","0","0","0","4","2","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-17","0","456","1","0.0021929824561403508","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-18","0","419","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-19","0","482","2","0.004149377593360996","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-20","0","487","1","0.002053388090349076","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-21","1","1420","14","0.009859154929577466","0","0","5","2","3","0","4","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-22","3","5336","61","0.011431784107946028","16","0","21","1","7","0","16","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-23","2","2291","25","0.010912265386294195","8","0","5","6","2","0","4","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-24","1","1653","19","0.011494252873563218","0","0","4","4","7","1","3","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-25","0","577","3","0.005199306759098787","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-26","2","2749","12","0.0043652237177155325","5","0","1","2","2","2","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-27","2","3467","24","0.006922411306605134","5","0","8","5","1","2","3","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-28","5","6448","54","0.008374689826302729","14","2","19","1","0","3","15","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-29","3","8689","72","0.00828633904937277","19","0","26","2","1","10","14","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2021-04-30","2","5260","48","0.009125475285171103","13","0","12","1","13","3","6","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
